Latitude,Longitude,Crash Death Count,Crash Month,Crash Possible Injury Count,Crash Severity,Crash Suspected Serious Injury Count,Crash Time,Crash Total Injury Count,Crash Year,Day of Week,Manner of Collision,Street Name,Street Number,Surface Condition,Surface Type,Surface Width,Weather Condition,Person Age,Person Death Count,Person Ethnicity,Person Total Injury Count,Person Type,Physical Location of An Occupant,Crash ID,Crash Date
29.70602146,-95.42976308,0,1,0,A - SUSPECTED SERIOUS INJURY,1,1750,1,2018,MONDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,WESTCHESTER ST,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,No Data,0,99 - UNKNOWN,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16180904,1/1/2018
29.70602146,-95.42976308,0,1,0,A - SUSPECTED SERIOUS INJURY,1,1750,1,2018,MONDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,WESTCHESTER ST,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,54,0,W - WHITE,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16180904,1/1/2018
29.72423563,-95.31146375,0,1,1,C - POSSIBLE INJURY,0,1748,1,2018,TUESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,UA0090,NO DATA,1 - DRY,No Data,52,1 - CLEAR,52,0,W - WHITE,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16178692,1/2/2018
29.72423563,-95.31146375,0,1,1,C - POSSIBLE INJURY,0,1748,1,2018,TUESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,UA0090,NO DATA,1 - DRY,No Data,52,1 - CLEAR,24,0,H - HISPANIC,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16178692,1/2/2018
29.72525481,-95.38878309,0,1,1,C - POSSIBLE INJURY,0,1440,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - TURNING LEFT,FANNIN ST,5599,1 - DRY,No Data,No Data,1 - CLEAR,52,0,B - BLACK,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16180526,1/3/2018
29.72525481,-95.38878309,0,1,1,C - POSSIBLE INJURY,0,1440,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - TURNING LEFT,FANNIN ST,5599,1 - DRY,No Data,No Data,1 - CLEAR,26,0,W - WHITE,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16180526,1/3/2018
29.73767489,-95.4963132,0,1,0,B - SUSPECTED MINOR INJURY,0,2304,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,FM1093,6365,1 - DRY,No Data,90,1 - CLEAR,No Data,0,99 - UNKNOWN,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16182581,1/3/2018
29.73767489,-95.4963132,0,1,0,B - SUSPECTED MINOR INJURY,0,2304,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,FM1093,6365,1 - DRY,No Data,90,1 - CLEAR,17,0,W - WHITE,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16182581,1/3/2018
29.7439601,-95.45007189,0,1,1,C - POSSIBLE INJURY,0,1935,1,2018,THURSDAY,ONE MOTOR VEHICLE - TURNING LEFT,MID LN,2392,1 - DRY,No Data,No Data,1 - CLEAR,74,0,W - WHITE,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16184276,1/4/2018
29.7439601,-95.45007189,0,1,1,C - POSSIBLE INJURY,0,1935,1,2018,THURSDAY,ONE MOTOR VEHICLE - TURNING LEFT,MID LN,2392,1 - DRY,No Data,No Data,1 - CLEAR,29,0,H - HISPANIC,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16184276,1/4/2018
